Zone,Code zone,Kcal_vegetaux,Kcal_animaux,Population_milliers,SousAlimentation_millions,Disponibilite_calorique_totale_kcal,Population_totale,Taux_sousnutrition_pct,Part_animaux_pct,Part_vegetaux_pct
Kazakhstan,108,2330.0,932.0,16441,-640173.7720839527,3262.0,16441000,-3.893764199768583,28.57142857142857,71.42857142857143
Kiribati,83,2685.0,357.0,102,6597.602519392056,3042.0,102000,6.468237764109858,11.735700197238659,88.26429980276134
Koweït,118,2794.0,705.0,3369,-248293.66254243988,3499.0,3369000,-7.369951396332439,20.148613889682768,79.85138611031724
Lettonie,119,2266.0,906.0,2050,-33730.81436819892,3172.0,2050000,-1.6454055789365327,28.562421185372006,71.437578814628
Lituanie,126,2432.0,982.0,3017,-233585.0707995001,3414.0,3017000,-7.742296015893274,28.763913298183947,71.23608670181605
Luxembourg,256,2366.0,1174.0,530,-64446.52109174803,3540.0,530000,-12.159720960707176,33.163841807909606,66.8361581920904
Macédoine du Nord,154,2396.0,550.0,2107,144477.97276870025,2946.0,2107000,6.85704664303276,18.6693822131704,81.33061778682959
Maldives,132,1913.0,820.0,345,30676.59843783759,2733.0,345000,8.89176766314133,30.003658982802783,69.99634101719721
Malte,134,2447.0,927.0,429,-27332.049635138414,3374.0,429000,-6.371107141057905,27.474807350326024,72.52519264967397
Maurice,137,2613.0,454.0,1244,61662.514457975376,3067.0,1244000,4.9567937667182775,14.802738832735574,85.19726116726443
Monténégro,273,2368.0,1122.0,621,-65940.1235421378,3490.0,621000,-10.618377381986761,32.14899713467049,67.85100286532952
Norvège,162,2381.0,1102.0,5043,-519238.5785119042,3483.0,5043000,-10.296224043464292,31.63939132931381,68.36060867068619
Nouvelle-Calédonie,153,2062.0,793.0,256,16620.227159521928,2855.0,256000,6.492276234188253,27.775831873905428,72.22416812609457
Nouvelle-Zélande,156,2151.0,985.0,4506,-70791.65520974762,3136.0,4506000,-1.5710531560086025,31.409438775510207,68.5905612244898
Pays-Bas,150,2146.0,1076.0,16759,-719254.0136320533,3222.0,16759000,-4.291747798985938,33.39540657976412,66.60459342023589
