Zone,Code zone,Kcal_vegetaux,Kcal_animaux,Population_milliers,SousAlimentation_millions,Disponibilite_calorique_totale_kcal,Population_totale,Taux_sousnutrition_pct,Part_animaux_pct,Continent,ISO3
Suriname,207,2374.0,378.0,539,,2752.0,539000,,13.73546511627907,America,SUR
Suède,210,2127.0,1053.0,9571,,3180.0,9571000,,33.11320754716981,Europe,SWE
Sénégal,195,2289.0,164.0,14133,1.9,2453.0,14133000,13.443713295124883,6.685690990623725,Africa,SEN
Tadjikistan,208,1929.0,270.0,8208,,2199.0,8208000,,12.278308321964529,Asia,TJK
Tchad,39,1991.0,118.0,12825,4.9,2109.0,12825000,38.20662768031189,5.59506875296349,Africa,TCD
Tchéquie (la),167,2418.0,837.0,10702,,3255.0,10702000,,25.71428571428571,Europe,CZE
Thaïlande,216,2434.0,351.0,67011,5.6,2785.0,67011000,8.356836937219263,12.603231597845602,Asia,THA
Timor-Leste,176,1884.0,245.0,1133,0.3,2129.0,1133000,26.478375992939103,11.507750117426022,Asia,TLS
Togo,217,2355.0,93.0,6817,1.3,2448.0,6817000,19.069972128502275,3.799019607843137,Africa,TGO
Trinité-et-Tobago,220,2414.0,635.0,1341,,3049.0,1341000,,20.826500491964577,America,TTO
Tunisie,222,2971.0,378.0,10997,0.5,3349.0,10997000,4.546694553059925,11.286951328754851,Africa,TUN
Turkménistan,213,2152.0,684.0,5240,0.3,2836.0,5240000,5.7251908396946565,24.118476727785616,Asia,TKM
Turquie,223,3141.0,567.0,74933,,3708.0,74933000,,15.291262135922329,Asia,TUR
Ukraine,230,2450.0,688.0,45239,,3138.0,45239000,,21.924792861695348,Europe,UKR
Uruguay,234,2185.0,867.0,3407,,3052.0,3407000,,28.40760157273919,America,URY
Vanuatu,155,2390.0,443.0,253,,2833.0,253000,,15.63713378044476,Oceania,VUT
Venezuela (République bolivarienne du),236,2157.0,476.0,30405,1.9,2633.0,30405000,6.248972208518336,18.07823775161413,America,VEN
Viet Nam,237,2169.0,575.0,91680,10.4,2744.0,91680000,11.343804537521814,20.954810495626823,Asia,VNM
Yémen,249,2028.0,189.0,24407,7.2,2217.0,24407000,29.499733682959807,8.525033829499323,Asia,YEM
Zambie,251,1818.0,106.0,14539,7.0,1924.0,14539000,48.14636494944632,5.50935550935551,Africa,ZMB
Zimbabwe,181,1935.0,178.0,14150,6.6,2113.0,14150000,46.64310954063604,8.424041646947469,Africa,ZWE
Égypte,59,3188.0,330.0,82056,3.9,3518.0,82056000,4.752851711026616,9.38032973280273,Africa,EGY
Émirats arabes unis,225,2718.0,557.0,9346,0.4,3275.0,9346000,4.279905842071474,17.00763358778626,Asia,ARE
Équateur,58,1732.0,614.0,15738,1.3,2346.0,15738000,8.260261786758164,26.17220801364024,America,ECU
États-Unis d'Amérique,231,2698.0,984.0,320051,,3682.0,320051000,,26.7246061922868,America,USA
Éthiopie,238,2005.0,124.0,94101,25.3,2129.0,94101000,26.88600546221613,5.824330671676844,Africa,ETH
Îles Salomon,25,2187.0,196.0,561,,2383.0,561000,,8.224926563155686,Oceania,SLB
